,number,lang,word,mean_freq,matched_word,mean_dash_freq,has_dash,mean_total_freq,corrected_total_freq,about_word,exactly_word,mean_freq_about,mean_freq_exactly,log_freq_about,log_freq_exactly,log_freq,log_freq_uncorrected,arabic_number,mult10,mult7,mult5,mult3,mult2,exp2,exp3,exp5,exp7,exp10,log10
45,46,en,forty-six,0.6230143945489829,forty - six,1.9383419958432133e-08,True,0.6230143945489829,0.6230143945489829,about forty-six,exactly forty-six,0.0070768373557753275,0.00024232387324954095,-2.150160785502694,-3.615603797955742,-0.20550191898934878,-0.20550191898934878,,0,0,0,0,1,1,0,0,0,0,1.662757831681574
46,47,en,forty-seven,0.5765529078648708,forty - seven,1.9828830690694393e-08,True,0.5765529078648708,0.5765529078648708,about forty-seven,exactly forty-seven,0.005761154694917648,0.00035417217184629217,-2.2394904632134796,-3.4507855653604618,-0.23916083314039882,-0.23916083314039882,,0,0,0,0,0,0,0,0,0,0,1.6720978579357175
47,48,en,forty-eight,1.4497367637173453,forty - eight,3.658517574292858e-08,True,1.4497367637173453,1.4497367637173453,about forty-eight,exactly forty-eight,0.016844548379229343,0.0010055137221220323,-1.7735406284369661,-2.9976119982634457,0.1612891522740142,0.1612891522740142,,0,0,0,1,1,4,1,0,0,0,1.6812412373755872
48,49,en,forty-nine,0.5358285382802327,forty - nine,1.832410072043946e-08,True,0.5358285382802327,0.5358285382802327,about forty-nine,exactly forty-nine,0.0029695197716905542,0.00031434440725778434,-2.5273137787528395,-3.5025942621109625,-0.27097415954533716,-0.27097415954533716,,0,1,0,0,0,0,0,0,2,0,1.6901960800285136
49,50,en,fifty,27.958138197587402,fifty,0.0,False,27.958138197587402,22.802627837318497,about fifty,exactly fifty,0.9380131341815429,0.014129996467000397,-0.027791080530708032,-1.849857946740431,1.3579848991707848,1.446508247279797,,1,0,1,0,1,1,0,2,0,1,1.6989700043360187
50,51,en,fifty-one,0.5641508241127418,fifty - one,2.7297520514154855e-08,True,0.5641508241127418,0.5641508241127418,about fifty-one,exactly fifty-one,0.002617371317502854,0.00023172848185522315,-2.582134661118927,-3.6350205835930396,-0.24860477310313955,-0.24860477310313955,,0,0,0,1,0,0,1,0,0,0,1.7075701760979363
51,52,en,fifty-two,0.7254601151615526,fifty - two,2.8135278229206496e-08,True,0.7254601151615526,0.7254601151615526,about fifty-two,exactly fifty-two,0.005696040771949566,0.0005125747109573712,-2.24442691070383,-3.290242824532178,-0.13938645950660983,-0.13938645950660983,,0,0,0,0,1,2,0,0,0,0,1.7160033436347992
52,53,en,fifty-three,0.5005281576921012,fifty - three,2.1822011143624467e-08,True,0.5005281576921012,0.5005281576921012,about fifty-three,exactly fifty-three,0.00413572348481007,0.00020805769539140027,-2.3834485059478774,-3.6818162164044907,-0.30057148584434934,-0.30057148584434934,,0,0,0,0,0,0,0,0,0,0,1.724275869600789
53,54,en,fifty-four,0.5693184286705147,fifty - four,2.1837124718504084e-08,True,0.5693184286705147,0.5693184286705147,about fifty-four,exactly fifty-four,0.005181295623483281,0.00023357969806713687,-2.285561627943567,-3.63156490728128,-0.24464475797595114,-0.24464475797595114,,0,0,0,1,1,1,3,0,0,0,1.7323937598229686
54,55,en,fifty-five,0.9787587152780308,fifty - five,2.6610236454425653e-08,True,0.9787587152780308,0.9787587152780308,about fifty-five,exactly fifty-five,0.028831657932563953,0.0006003520107515402,-1.5401303832704394,-3.221594030450682,-0.009324357776600047,-0.009324357776600047,,0,0,1,0,0,0,0,1,0,0,1.7403626894942439
55,56,en,fifty-six,0.5646537618651886,fifty - six,1.9398484004303402e-08,True,0.5646537618651886,0.5646537618651886,about fifty-six,exactly fifty-six,0.0061611034487715054,0.00017744306194596187,-2.2103414990700143,-3.7509409769728586,-0.24821777413485915,-0.24821777413485915,,0,1,0,0,1,3,0,0,1,0,1.7481880270062005
56,57,en,fifty-seven,0.4385071404202808,fifty - seven,1.6622221890855268e-08,True,0.4385071404202808,0.4385071404202808,about fifty-seven,exactly fifty-seven,0.003934032489750097,0.00016843706971131464,-2.4051620577209727,-3.77356232257875,-0.35802333041680406,-0.35802333041680406,,0,0,0,1,0,0,1,0,0,0,1.7558748556724915
57,58,en,fifty-eight,0.4336893257414868,fifty - eight,1.5645489104701047e-08,True,0.4336893257414868,0.4336893257414868,about fifty-eight,exactly fifty-eight,0.004165845328826964,0.00020678282928547156,-2.3802968587483195,-3.684485526778156,-0.36282126687272676,-0.36282126687272676,,0,0,0,0,1,1,0,0,0,0,1.7634279935629373
